Id,Title,Name,Price,Image
322849108,Doğannboss,Minimal Kalp,185 TL,https://cdn.dsmcdn.com/ty1330/product/media/images/prod/QC/20240525/11/d2317313-8038-36fc-b964-8f53277de7cf/1_org.jpg
794991794,ALİKA,Kadın Lacıvert Beyaz,124 TL,https://cdn.dsmcdn.com/ty1123/product/media/images/prod/SPM/PIM/20240107/11/b0f9c501-111e-3890-bb1a-d67430cce3d8/1_org.jpg
798196758,Calvin Klein,Bright White,124 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240517/09/f7e63ce7-a050-37e4-abb5-ceda2737488c/1_org.jpg
692084191,mercoledi,Ayıcık Baskılı,"1.330,99 TL",https://cdn.dsmcdn.com/ty834/product/media/images/20230419/16/328568080/915452915/1/1_org.jpg
81838783,Fabrika,Teyo Lacivert V Yaka,"111,60 TL",https://cdn.dsmcdn.com/ty532/product/media/images/20220915/14/175522180/138394808/1/1_org.jpg
831498834,Seçkin Butik,First Chance,"199,95 TL",https://cdn.dsmcdn.com/ty1323/product/media/images/prod/QC/20240522/22/18f990f7-d116-3fc9-85d7-705009a8eacd/1_org.jpg
649566144,CMKTEKS,Unisex Hashtag Beyaz,124 TL,https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240522/23/0506c710-473c-3674-bd5a-07ef6add257e/1_org.jpg
713578107,Eldemir,Unisex Pamuk Siyah,60 TL,https://cdn.dsmcdn.com/ty1271/product/media/images/prod/SPM/PIM/20240423/13/52544a46-7ed7-35b2-a5fa-c73c4140b32f/1_org.jpg
828628625,GHAND,ÇİFTLERE ÖZEL ATEŞ ve,"499,90 TL",https://cdn.dsmcdn.com/ty1311/product/media/images/prod/SPM/PIM/20240513/12/55009ea0-2833-3b45-a51b-a0e7d1b4485c/1_org.jpg
754327598,Seyyar,Crop Bisiklet Yaka,77 TL,https://cdn.dsmcdn.com/ty1329/product/media/images/prod/QC/20240525/19/5c53122a-7517-3eee-b977-ad59664cca63/1_org.jpg
717936315,mercoledi,Ayıcık Baskılı,"110,65 TL",https://cdn.dsmcdn.com/ty900/product/media/images/20230523/18/356939774/946444099/1/1_org.jpg
809069363,Ltb,Logolu Siyah T-shırt,"279,99 TL",https://cdn.dsmcdn.com/ty1190/product/media/images/prod/SPM/PIM/20240302/04/406300bd-4491-3dd0-93ff-b37a72725a46/1_org.jpg
824157185,BEGRİFF,Unisex Sunny Mood,"46,41 TL",https://cdn.dsmcdn.com/ty1272/product/media/images/prod/SPM/PIM/20240424/11/19456b81-32fb-34e8-a324-ce7b1b6fce11/1_org.jpg
816090496,DUBU BUTİK,Leopar Desen,"120,69 TL",https://cdn.dsmcdn.com/ty1217/product/media/images/prod/SPM/PIM/20240320/10/25d71417-fc33-3005-ae04-970a306cb2de/1_org.jpg
832099132,TRENDKOLİK,Trend Selection -,229 TL,https://cdn.dsmcdn.com/ty1331/product/media/images/prod/QC/20240525/15/4d64abcc-5b30-37c0-984e-47d1a693ccd5/1_org.jpg
58873348,viptasarımtshirt,Kadın Siyah,107 TL,https://cdn.dsmcdn.com/ty1328/product/media/images/prod/QC/20240522/22/6dfc6919-69e2-3e32-8d8c-d52b8735f240/1_org.jpg
